Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Using GPU
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.060888	Val Loss: 1.416670	Val Acc: 50
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 1.158315	Val Loss: 1.391918	Val Acc: 51
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 1.122084	Val Loss: 1.402773	Val Acc: 51
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 1.149977	Val Loss: 1.417795	Val Acc: 52
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.054861	Val Loss: 1.414629	Val Acc: 52
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 0.961236	Val Loss: 1.400711	Val Acc: 51
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 0.951882	Val Loss: 1.406263	Val Acc: 51
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 1.017719	Val Loss: 1.413249	Val Acc: 50
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 0.973727	Val Loss: 1.396793	Val Acc: 52
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 0.992868	Val Loss: 1.413507	Val Acc: 51
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 1.096205	Val Loss: 1.374609	Val Acc: 52
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 0.997910	Val Loss: 1.404970	Val Acc: 51
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 1.003343	Val Loss: 1.427943	Val Acc: 52
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 1.123138	Val Loss: 1.423483	Val Acc: 49
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 0.966789	Val Loss: 1.433508	Val Acc: 51
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 0.954345	Val Loss: 1.414557	Val Acc: 51
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 1.009063	Val Loss: 1.401124	Val Acc: 53
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 1.022199	Val Loss: 1.411757	Val Acc: 52
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 0.980220	Val Loss: 1.411771	Val Acc: 52
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 1.039572	Val Loss: 1.418697	Val Acc: 51
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 0.988227	Val Loss: 1.454620	Val Acc: 50
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 1.023693	Val Loss: 1.411667	Val Acc: 52
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 0.957996	Val Loss: 1.435376	Val Acc: 50
Train Epoch: 8 [46080/49000 (94%)]	Train Loss: 0.949165	Val Loss: 1.453536	Val Acc: 52
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 0.933718	Val Loss: 1.402154	Val Acc: 52
Train Epoch: 9 [5120/49000 (10%)]	Train Loss: 0.861665	Val Loss: 1.442428	Val Acc: 51
Train Epoch: 9 [10240/49000 (21%)]	Train Loss: 0.860800	Val Loss: 1.458096	Val Acc: 51
Train Epoch: 9 [15360/49000 (31%)]	Train Loss: 0.919693	Val Loss: 1.442705	Val Acc: 51
Train Epoch: 9 [20480/49000 (42%)]	Train Loss: 1.018519	Val Loss: 1.409559	Val Acc: 54
Train Epoch: 9 [25600/49000 (52%)]	Train Loss: 1.044643	Val Loss: 1.448563	Val Acc: 50
Train Epoch: 9 [30720/49000 (62%)]	Train Loss: 0.980324	Val Loss: 1.430136	Val Acc: 51
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 1.022204	Val Loss: 1.411410	Val Acc: 50
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 0.964113	Val Loss: 1.411104	Val Acc: 51
